id,job_opportunity_id,score_res,score_eng,score_int,score_cur,score_sin,score_dis,created_at,updated_at,average_distance
1815,2727,44.00,40.00,38.00,38.00,30.00,42.00,2023-03-06 12:42:28.780880,2023-03-06 12:42:28.780523,
1816,2686,42.00,34.00,44.00,28.00,36.00,38.00,2023-03-07 12:33:26.098159,2023-03-07 12:33:26.097656,
1928,2900,38.00,20.00,36.00,30.00,34.00,32.00,2023-05-22 12:48:56.692793,2023-05-22 12:48:56.692426,
1862,2755,26.00,30.00,34.00,24.00,42.00,26.00,2023-03-28 13:32:31.096368,2023-03-28 13:32:31.095845,
1817,2749,24.00,16.00,42.00,20.00,32.00,24.00,2023-03-07 13:11:26.797106,2023-03-07 13:11:26.796497,
1818,2760,30.00,32.00,22.00,26.00,26.00,38.00,2023-03-07 13:45:12.828245,2023-03-07 13:45:12.827633,
1820,2688,30.00,34.00,28.00,20.00,26.00,36.00,2023-03-07 20:44:54.809466,2023-03-07 20:44:54.808653,
1821,2709,34.00,34.00,40.00,32.00,32.00,38.00,2023-03-07 21:07:52.472869,2023-03-07 21:07:52.472446,
1822,2761,30.00,28.00,34.00,22.00,36.00,38.00,2023-03-08 11:54:00.958838,2023-03-08 11:54:00.958441,
1916,2882,32.00,30.00,26.00,38.00,28.00,34.00,2023-05-09 20:24:35.893781,2023-05-09 20:25:41.395488,
1823,2741,24.00,22.00,18.00,30.00,26.00,30.00,2023-03-08 17:36:21.496508,2023-03-08 17:36:21.495958,
1825,2751,24.00,28.00,34.00,18.00,36.00,38.00,2023-03-09 14:48:47.856264,2023-03-09 14:48:47.855837,
1918,2883,30.00,36.00,40.00,24.00,38.00,42.00,2023-05-09 21:04:09.413916,2023-05-09 21:04:09.413400,
1952,2932,42.00,34.00,40.00,34.00,24.00,26.00,2023-05-30 20:58:34.892727,2023-05-30 20:58:34.892293,
1826,2713,36.00,32.00,30.00,22.00,28.00,30.00,2023-03-10 12:17:12.732192,2023-03-10 12:17:12.731764,
1827,2768,24.00,32.00,26.00,26.00,36.00,30.00,2023-03-10 12:59:45.615065,2023-03-10 12:59:45.614300,
1828,2707,38.00,34.00,42.00,36.00,40.00,46.00,2023-03-10 16:05:48.715982,2023-03-10 16:05:48.715515,
1829,2706,34.00,28.00,34.00,22.00,38.00,36.00,2023-03-10 16:14:20.767762,2023-03-10 16:14:20.767310,
1830,2708,32.00,10.00,26.00,22.00,30.00,36.00,2023-03-10 17:31:06.833373,2023-03-10 17:31:06.832881,
1831,2666,32.00,32.00,32.00,24.00,38.00,48.00,2023-03-13 12:59:05.913510,2023-03-13 12:59:05.913054,
1832,2674,38.00,38.00,34.00,38.00,34.00,40.00,2023-03-13 14:05:18.494124,2023-03-13 14:05:18.493703,
1833,2682,28.00,30.00,28.00,22.00,38.00,36.00,2023-03-13 18:01:53.217608,2023-03-13 18:01:53.217230,
1834,2692,30.00,32.00,34.00,26.00,32.00,42.00,2023-03-13 18:20:42.903638,2023-03-13 18:20:42.903187,
1835,2766,30.00,30.00,42.00,16.00,28.00,36.00,2023-03-14 11:45:32.772556,2023-03-14 11:45:32.772005,
1836,2781,24.00,34.00,34.00,32.00,34.00,46.00,2023-03-14 17:42:14.335671,2023-03-14 17:42:14.335187,
1942,2903,32.00,26.00,32.00,14.00,32.00,52.00,2023-05-29 19:32:30.054956,2023-05-29 19:32:30.054541,
1837,2672,34.00,32.00,30.00,30.00,46.00,48.00,2023-03-14 19:58:49.179810,2023-03-14 19:58:49.179413,
1838,2680,34.00,26.00,38.00,28.00,34.00,44.00,2023-03-14 20:40:32.170469,2023-03-14 20:40:32.169812,
1839,2698,38.00,30.00,36.00,30.00,40.00,34.00,2023-03-15 00:33:19.037103,2023-03-15 00:33:19.036647,
1840,2775,36.00,42.00,38.00,38.00,46.00,40.00,2023-03-15 07:04:05.732403,2023-03-15 07:04:05.731923,
1841,2778,30.00,34.00,38.00,42.00,44.00,40.00,2023-03-15 11:27:52.560446,2023-03-15 11:27:52.559840,
1842,2690,26.00,30.00,44.00,34.00,38.00,30.00,2023-03-16 13:18:06.864363,2023-03-16 13:18:06.863819,
1937,2915,24.00,26.00,26.00,16.00,28.00,28.00,2023-05-26 02:01:49.018378,2023-05-26 02:09:07.605986,
1843,2733,26.00,32.00,40.00,24.00,34.00,32.00,2023-03-16 13:53:35.616155,2023-03-16 13:56:32.020484,
1844,2734,36.00,40.00,26.00,26.00,44.00,36.00,2023-03-16 13:58:08.545106,2023-03-16 13:58:08.544657,
1920,2880,26.00,24.00,22.00,26.00,34.00,30.00,2023-05-11 02:50:43.677548,2023-05-22 15:12:03.818389,
1845,2735,28.00,30.00,24.00,28.00,28.00,36.00,2023-03-16 14:10:36.992527,2023-03-16 14:13:06.641180,
1846,2736,42.00,36.00,38.00,30.00,30.00,50.00,2023-03-16 14:14:45.086736,2023-03-16 14:14:45.086127,
1847,2737,32.00,34.00,28.00,32.00,38.00,32.00,2023-03-16 14:15:45.643721,2023-03-16 14:15:45.641222,
1848,2740,38.00,28.00,40.00,26.00,36.00,34.00,2023-03-16 14:19:26.714225,2023-03-16 14:19:26.713701,
1850,2744,32.00,30.00,34.00,28.00,36.00,32.00,2023-03-16 14:23:46.485051,2023-03-16 14:24:18.066106,
1929,2902,30.00,40.00,52.00,38.00,32.00,36.00,2023-05-24 13:03:11.142335,2023-05-24 13:03:11.141853,
1851,2748,42.00,34.00,36.00,32.00,38.00,40.00,2023-03-16 14:28:05.942503,2023-03-16 14:29:30.993013,
1943,2888,28.00,36.00,36.00,30.00,40.00,44.00,2023-05-29 20:00:18.241939,2023-05-29 20:00:18.241659,
1931,2906,24.00,22.00,24.00,12.00,30.00,32.00,2023-05-25 17:22:43.316647,2023-05-25 17:22:43.316213,
1824,2723,30.00,22.00,32.00,26.00,28.00,34.00,2023-03-09 14:38:21.316237,2023-03-16 20:53:04.316812,
1852,2679,32.00,34.00,26.00,32.00,34.00,36.00,2023-03-17 12:41:17.160325,2023-03-17 12:41:17.159710,
1819,2750,28.00,24.00,24.00,20.00,38.00,30.00,2023-03-07 19:38:40.047746,2023-03-17 16:29:25.683024,
1853,2784,40.00,34.00,32.00,18.00,30.00,36.00,2023-03-17 20:18:56.050052,2023-03-17 20:18:56.049333,
1854,2780,32.00,34.00,32.00,30.00,32.00,36.00,2023-03-17 20:58:34.090718,2023-03-17 20:58:34.089800,
1855,2670,32.00,30.00,32.00,18.00,24.00,30.00,2023-03-21 15:03:26.965206,2023-03-21 15:03:26.964427,
