id,job_opportunity_id,score_classic,score_order,score_change,score_tireless,score_explorer,score_specialist,score_generalist,created_at,updated_at,average_distance
1915,2900,0.00,2.00,4.00,6.00,3.50,2.00,3.00,2023-05-22 12:58:09.763353,2023-05-22 12:58:09.762039,
1804,2727,0.50,5.00,3.50,4.00,1.50,3.00,2.00,2023-03-06 18:47:42.816077,2023-03-06 18:47:42.815323,
1916,2902,2.00,4.50,3.50,4.00,5.00,3.00,1.00,2023-05-24 13:03:09.044889,2023-05-24 13:03:09.044406,
1803,2711,1.00,4.50,4.00,4.50,3.00,1.00,3.00,2023-03-03 03:19:44.131516,2023-03-03 03:19:44.131095,
1865,2806,0.00,4.00,5.00,5.00,4.00,2.00,2.00,2023-04-10 18:21:15.354985,2023-04-14 14:11:43.839428,
1869,2808,2.00,4.50,3.50,4.00,5.00,3.00,1.00,2023-04-11 12:00:45.950199,2023-04-11 12:00:45.949531,
1839,2748,1.00,3.50,5.50,4.00,2.00,2.00,3.00,2023-03-16 14:27:25.879281,2023-03-16 14:29:58.227630,
1867,2810,0.50,5.00,4.00,4.50,1.50,4.00,0.00,2023-04-10 21:10:30.141356,2023-04-10 21:12:01.128830,
1873,2821,3.00,5.50,5.00,4.00,6.00,3.00,1.00,2023-04-14 13:07:08.690266,2023-04-14 13:07:08.689619,
1859,2800,2.00,5.00,5.00,4.00,5.00,0.00,4.00,2023-04-03 11:49:26.630032,2023-04-03 11:49:26.629496,
1840,2679,1.00,4.00,4.00,5.00,2.00,3.00,1.00,2023-03-17 13:03:56.742119,2023-03-17 13:03:56.741531,
1811,2750,1.00,3.00,4.00,5.00,2.00,3.00,1.00,2023-03-08 13:38:30.272742,2023-03-17 16:40:19.497730,
1860,2770,2.00,4.00,5.50,5.00,4.50,1.00,3.00,2023-04-04 17:36:44.384277,2023-04-04 17:36:44.383437,
1841,2784,0.50,5.00,4.00,2.00,2.00,1.00,3.00,2023-03-17 20:18:53.421323,2023-03-17 20:18:53.420761,
1842,2780,1.50,6.50,3.50,5.00,2.50,2.00,3.00,2023-03-17 21:21:24.551855,2023-03-17 21:21:24.551314,
1814,2723,0.00,6.00,3.00,4.00,1.00,4.00,0.00,2023-03-09 14:58:57.861846,2023-03-21 14:52:52.238903,
1843,2670,2.50,3.50,5.50,6.00,4.00,3.00,1.00,2023-03-21 15:11:41.773089,2023-03-21 15:11:41.772420,
1844,2696,1.00,4.50,2.50,5.00,3.50,2.00,3.00,2023-03-21 17:03:01.140945,2023-03-21 17:03:01.140434,
1845,2786,2.00,1.00,5.00,3.50,4.00,3.00,1.00,2023-03-22 13:07:53.513673,2023-03-22 13:07:53.513036,
1805,2686,1.00,2.50,3.50,5.00,4.50,1.00,3.00,2023-03-07 12:42:33.456460,2023-03-07 12:42:33.455883,
1806,2749,0.50,1.50,6.00,3.00,3.00,1.00,3.00,2023-03-07 13:17:46.985125,2023-03-07 13:17:46.984651,
1807,2760,0.50,5.00,4.50,3.50,4.00,4.00,0.00,2023-03-07 13:45:09.477810,2023-03-07 13:45:09.477334,
1846,2785,0.00,1.50,5.50,3.50,4.00,3.00,1.00,2023-03-22 13:31:35.270990,2023-03-22 13:31:35.270135,
1808,2688,2.50,5.00,5.50,5.00,2.50,1.00,3.00,2023-03-07 20:51:01.599357,2023-03-07 20:51:01.598772,
1809,2709,1.00,4.50,4.00,5.00,3.00,1.00,3.00,2023-03-07 21:14:29.719800,2023-03-07 21:14:29.719240,
1866,2807,3.00,5.00,5.00,5.50,3.00,0.00,4.00,2023-04-10 19:42:07.221557,2023-04-11 13:47:57.512533,
1810,2761,2.00,7.00,5.00,3.50,1.50,3.00,1.00,2023-03-08 11:53:58.534892,2023-03-08 11:53:58.534463,
1847,2794,0.00,2.00,7.00,3.00,4.00,3.00,1.00,2023-03-27 12:54:52.227490,2023-03-27 12:54:52.226827,
1812,2741,1.50,3.00,1.50,3.50,4.50,3.00,1.00,2023-03-08 17:46:52.480800,2023-03-08 17:46:52.480118,
1813,2751,0.50,3.50,3.00,3.00,2.50,4.00,0.00,2023-03-09 14:58:00.056221,2023-03-09 14:58:00.055814,
1861,2772,2.00,4.50,4.00,4.00,3.00,3.00,1.00,2023-04-04 18:22:02.855370,2023-04-04 18:22:02.854391,
1862,2805,1.50,2.50,2.50,5.50,4.00,3.00,1.00,2023-04-04 20:58:44.723743,2023-04-04 20:58:44.722982,
1863,2793,1.00,5.50,3.50,5.50,1.50,3.00,2.00,2023-04-05 22:13:33.481994,2023-04-05 22:13:33.481060,
1815,2713,2.50,3.00,3.00,5.00,4.00,2.00,3.00,2023-03-10 12:17:10.597967,2023-03-10 12:17:10.597423,
1816,2768,2.00,7.00,7.00,4.00,2.00,1.00,3.00,2023-03-10 12:59:43.062740,2023-03-10 12:59:43.061957,
1817,2706,1.50,6.50,4.00,5.50,3.50,3.00,1.00,2023-03-10 16:27:54.947415,2023-03-10 16:27:54.946908,
1818,2708,1.50,5.50,4.00,4.50,1.50,2.00,3.00,2023-03-10 17:46:38.681345,2023-03-10 17:46:38.680821,
1819,2707,3.50,6.00,5.50,6.00,3.00,2.00,3.00,2023-03-12 18:43:11.394412,2023-03-12 18:43:11.393544,
1820,2666,1.00,6.00,4.00,4.00,2.50,2.00,3.00,2023-03-13 13:50:19.469045,2023-03-13 13:50:19.468416,
1821,2674,2.00,4.50,4.50,5.00,4.00,1.00,3.00,2023-03-13 14:13:41.331732,2023-03-13 14:13:41.331180,
1822,2692,1.50,4.00,4.00,4.00,4.00,3.00,1.00,2023-03-13 18:32:18.515646,2023-03-13 18:32:18.514759,
1848,2690,1.50,4.00,3.00,5.00,5.50,3.00,1.00,2023-03-27 14:59:51.744795,2023-03-27 14:59:51.744250,
1849,2752,1.00,4.50,4.50,5.00,4.50,3.00,1.00,2023-03-28 13:31:51.513984,2023-03-28 13:31:51.512973,
1850,2753,3.50,3.50,5.00,4.00,4.50,3.00,1.00,2023-03-28 13:32:09.595805,2023-03-28 13:32:09.595276,
1851,2755,3.00,4.00,5.50,4.50,3.00,2.00,3.00,2023-03-28 13:32:28.159087,2023-03-28 13:32:28.156243,
1852,2754,3.00,4.00,5.50,4.50,3.00,2.00,3.00,2023-03-28 13:32:56.363763,2023-03-28 13:32:56.363272,
1853,2756,1.00,5.50,3.00,4.50,1.50,3.00,1.00,2023-03-28 13:33:15.210436,2023-03-28 13:33:15.209559,
1854,2757,0.50,3.00,5.00,3.50,3.00,2.00,3.00,2023-03-28 13:33:34.498665,2023-03-28 13:33:34.497999,
1855,2758,3.00,6.00,5.50,4.00,3.00,4.00,0.00,2023-03-28 13:34:35.122356,2023-03-28 13:34:35.121660,
1856,2796,1.00,3.50,5.50,3.00,1.50,2.00,3.00,2023-03-28 16:09:01.192674,2023-03-28 16:09:01.192006,
1857,2797,2.00,5.50,5.00,4.00,2.50,2.00,3.00,2023-03-29 17:09:35.922957,2023-03-29 17:09:35.922394,
1823,2682,2.00,5.00,3.50,3.00,2.00,1.00,3.00,2023-03-13 21:16:18.880735,2023-03-13 21:16:18.880274,
1824,2766,2.50,3.00,4.50,5.00,4.00,3.00,1.00,2023-03-14 11:54:46.148750,2023-03-14 11:54:46.147751,
1825,2781,1.50,2.00,5.00,2.50,3.50,3.00,1.00,2023-03-14 17:42:12.192418,2023-03-14 17:42:12.191872,
1826,2672,2.00,5.50,3.50,5.50,4.50,2.00,3.00,2023-03-14 20:06:27.513636,2023-03-14 20:06:27.513100,
1827,2680,1.50,3.00,3.50,7.50,4.50,2.00,3.00,2023-03-14 20:48:30.622541,2023-03-14 20:48:30.622082,
1828,2698,1.50,3.50,3.50,3.50,4.00,1.00,3.00,2023-03-15 00:41:24.900837,2023-03-15 00:41:24.899836,
1829,2775,2.00,4.00,4.50,3.00,2.00,3.00,1.00,2023-03-15 07:23:41.411436,2023-03-15 07:23:41.411001,
1864,2801,1.50,5.00,3.50,2.00,2.00,2.00,3.00,2023-04-06 14:06:30.957651,2023-04-06 14:06:30.957027,
1830,2733,1.00,5.00,4.50,4.50,3.00,0.00,4.00,2023-03-16 13:53:20.816723,2023-03-16 13:56:27.395648,
1831,2734,3.50,4.00,4.50,3.50,4.00,0.00,4.00,2023-03-16 13:57:38.149795,2023-03-16 13:57:38.149360,
1832,2735,0.00,3.50,5.00,3.50,2.00,0.00,4.00,2023-03-16 14:12:01.859522,2023-03-16 14:12:40.007978,
1833,2736,1.50,5.00,5.00,2.50,4.00,0.00,4.00,2023-03-16 14:14:41.276126,2023-03-16 14:14:41.275697,
1834,2737,2.00,5.00,5.00,4.00,2.00,0.00,4.00,2023-03-16 14:15:27.903742,2023-03-16 14:15:27.902990,
1835,2738,1.00,4.50,3.50,3.00,2.00,3.00,2.00,2023-03-16 14:17:30.562888,2023-03-16 14:17:30.562077,
1836,2740,0.50,4.00,5.50,3.50,2.00,0.00,4.00,2023-03-16 14:19:12.675638,2023-03-16 14:19:12.675194,
1837,2743,2.00,5.50,4.00,4.50,1.00,0.00,4.00,2023-03-16 14:20:27.238694,2023-03-16 14:20:27.237817,
1838,2744,1.00,4.50,3.50,3.00,2.00,3.00,2.00,2023-03-16 14:23:15.559992,2023-03-16 14:23:55.850666,
1858,2798,2.00,3.00,3.00,6.00,6.00,2.00,2.00,2023-03-30 17:19:48.201647,2023-03-30 17:20:29.106719,
1870,2799,2.50,4.50,2.50,4.00,2.50,3.00,1.00,2023-04-11 18:11:57.107921,2023-04-11 18:11:57.106730,
1868,2809,0.50,5.00,4.00,4.50,1.50,4.00,0.00,2023-04-10 21:13:16.154144,2023-04-10 21:13:59.202170,
1874,2822,2.50,3.00,3.00,5.00,4.00,2.00,3.00,2023-04-14 13:09:39.484360,2023-04-14 13:09:39.483588,
1872,2813,2.00,6.00,5.50,5.50,4.00,2.00,3.00,2023-04-14 12:41:26.631145,2023-04-14 12:41:26.630218,
1871,2811,1.00,5.00,5.50,5.00,3.00,3.00,1.00,2023-04-12 20:24:16.003168,2023-04-12 20:25:58.614324,
1875,2825,2.50,2.00,3.50,4.50,6.00,3.00,1.00,2023-04-14 13:18:55.364911,2023-04-14 13:18:55.364457,
1876,2823,2.00,3.00,4.50,4.50,5.50,3.00,1.00,2023-04-14 13:38:02.742326,2023-04-14 13:38:02.741727,
1877,2828,0.00,2.00,4.50,4.50,5.00,3.00,1.00,2023-04-14 14:44:18.629964,2023-04-14 14:44:18.629195,
1878,2817,1.00,6.50,3.00,4.00,2.50,2.00,3.00,2023-04-15 14:44:17.404377,2023-04-15 14:44:17.403758,
1879,2812,3.00,5.00,5.00,2.50,4.50,3.00,1.00,2023-04-17 17:34:37.673473,2023-04-17 17:34:37.672582,
1880,2833,2.50,4.50,4.50,5.50,5.00,2.00,3.00,2023-04-18 21:00:58.483927,2023-04-18 21:00:58.483167,
1881,2720,1.00,6.00,6.00,5.00,0.00,3.00,2.00,2023-04-19 22:03:25.669986,2023-04-19 22:03:25.669740,
1930,2923,3.00,4.50,3.50,5.00,4.00,1.00,3.00,2023-05-30 00:03:10.245083,2023-05-30 00:03:10.244333,
1883,2847,1.50,5.00,5.50,2.50,1.00,3.00,1.00,2023-04-20 16:10:19.626091,2023-04-20 16:10:19.625366,
1884,2848,2.00,4.00,4.50,4.50,5.00,2.00,3.00,2023-04-20 19:53:14.286170,2023-04-20 19:53:14.285889,
1885,2849,0.50,4.00,5.00,6.50,5.00,2.00,3.00,2023-04-20 20:09:36.092726,2023-04-20 20:09:36.092224,
1886,2836,2.50,4.00,4.50,2.50,3.50,3.00,1.00,2023-04-20 20:40:14.544690,2023-04-20 20:40:14.544187,
1887,2834,3.00,4.00,2.00,4.50,3.00,3.00,1.00,2023-04-24 12:57:42.452465,2023-04-24 12:57:42.451996,
1882,2845,1.00,4.00,2.00,2.00,5.00,2.00,2.00,2023-04-20 12:26:32.324355,2023-04-24 13:35:14.730806,
1888,2850,0.50,4.00,4.50,6.50,5.00,2.00,3.00,2023-04-26 15:51:12.794442,2023-04-26 15:51:12.793957,
1889,2840,2.00,5.00,5.00,2.00,4.50,3.00,1.00,2023-04-26 19:02:08.726588,2023-04-26 19:02:08.726137,
1890,2846,1.50,6.50,3.50,4.00,2.50,4.00,0.00,2023-04-26 19:15:00.536410,2023-04-26 19:15:00.535795,
1891,2851,1.00,2.50,3.50,5.00,4.50,1.00,3.00,2023-04-26 21:30:58.777007,2023-04-26 21:30:58.776542,
1892,2855,3.00,6.00,5.50,4.00,3.00,4.00,0.00,2023-04-28 17:27:03.040688,2023-04-28 17:27:03.040112,
1893,2830,1.00,3.00,5.00,5.00,4.50,4.00,0.00,2023-04-28 20:35:40.206115,2023-04-28 20:35:40.205481,
1894,2866,3.00,5.00,3.00,1.50,1.50,2.00,3.00,2023-05-02 13:41:17.140935,2023-05-02 13:41:32.226904,
1895,2867,2.50,4.00,4.50,4.00,2.50,2.00,3.00,2023-05-02 15:30:03.543895,2023-05-02 15:30:03.543208,
1896,2861,1.00,5.50,3.00,6.00,3.00,1.00,3.00,2023-05-02 16:47:49.685494,2023-05-02 16:47:49.685187,
1898,2826,1.00,5.50,2.00,4.50,2.50,1.00,3.00,2023-05-05 17:43:41.007693,2023-05-05 17:43:41.007134,
1897,2841,3.00,5.50,4.50,3.00,1.00,3.00,1.00,2023-05-04 11:51:48.535662,2023-05-05 20:48:44.939240,
1931,2927,1.50,5.50,3.50,4.00,5.00,2.00,3.00,2023-05-30 11:20:53.424502,2023-05-30 11:20:53.424046,
1900,2824,3.50,4.00,5.00,5.00,3.50,3.00,2.00,2023-05-08 20:30:41.521791,2023-05-08 20:30:41.521193,
1901,2868,2.00,7.00,5.00,6.50,1.50,2.00,3.00,2023-05-09 15:51:14.840124,2023-05-09 15:51:14.839745,
1902,2819,2.00,6.00,3.00,4.00,2.50,1.00,3.00,2023-05-09 19:28:47.252060,2023-05-09 19:28:47.251584,
1907,2880,1.00,4.00,4.00,4.00,2.00,2.00,2.00,2023-05-11 02:56:40.432782,2023-05-22 15:18:57.097560,
1903,2882,1.50,2.50,2.50,3.50,6.50,1.00,3.00,2023-05-09 20:24:33.992251,2023-05-09 20:25:41.728582,
1904,2815,1.00,3.00,6.00,5.50,3.00,2.00,3.00,2023-05-09 20:50:09.080078,2023-05-09 20:50:09.079411,
1905,2883,2.00,4.00,5.00,2.50,0.00,1.00,3.00,2023-05-09 21:10:24.152286,2023-05-09 21:10:24.151791,
1911,2892,2.00,5.00,5.00,4.00,3.00,0.00,4.00,2023-05-16 20:17:22.282769,2023-05-22 20:00:52.228110,
1908,2835,2.50,4.00,6.00,5.00,6.00,3.00,2.00,2023-05-11 16:41:40.413328,2023-05-11 16:41:40.412791,
1932,2926,0.50,3.50,3.50,4.00,2.00,2.00,3.00,2023-05-30 11:43:12.423703,2023-05-30 11:43:12.423116,
1909,2891,2.00,5.00,5.00,3.50,4.00,3.00,1.00,2023-05-12 20:14:57.793171,2023-05-12 20:14:57.792768,
1933,2899,2.00,6.50,5.50,5.50,3.50,0.00,4.00,2023-05-30 13:20:00.950654,2023-05-30 13:20:00.949919,
1910,2890,1.00,4.00,4.50,3.00,1.00,4.00,0.00,2023-05-15 14:11:57.376910,2023-05-15 14:11:57.376415,
1899,2881,1.00,3.00,3.00,4.00,3.00,1.00,3.00,2023-05-08 14:46:48.937829,2023-05-16 02:34:19.355387,
1906,2884,2.00,7.00,2.00,5.50,1.50,3.00,1.00,2023-05-09 22:11:27.485169,2023-05-16 15:35:42.696559,
1934,2898,1.00,2.00,4.50,3.50,3.00,1.00,3.00,2023-05-30 13:20:31.943024,2023-05-30 13:20:31.942545,
1935,2897,1.50,3.50,6.50,4.50,3.00,0.00,4.00,2023-05-30 13:20:58.522340,2023-05-30 13:20:58.521611,
1936,2896,1.50,4.00,5.50,4.50,2.50,1.00,3.00,2023-05-30 13:21:25.541739,2023-05-30 13:21:25.541221,
1937,2895,3.00,4.50,5.00,1.50,3.00,1.00,3.00,2023-05-30 13:21:50.102525,2023-05-30 13:21:50.101912,
1912,2893,1.50,2.00,3.50,6.00,3.00,3.00,1.00,2023-05-19 12:24:08.931547,2023-05-19 12:24:08.931172,
