id,name
1088739,Finanças / Contabilidade
1088739,Logistica / Supply Chain
1084244,Engenharia
1084244,Tecnologia
117100,Logistica / Supply Chain
117100,Produção / Operações
117100,Comercial / Vendas
117100,RH
437913,Marketing / Comunicação
472009,Tecnologia
472009,Marketing / Comunicação
1058782,Comercial / Vendas
1058782,RH
1058782,Administrativo
1058782,Marketing / Comunicação
1091585,Engenharia
1058782,Produção / Operações
1091585,Tecnologia
228683,Comercial / Vendas
228683,Marketing / Comunicação
228683,Tecnologia
228683,RH
1022022,Comercial / Vendas
1091943,Engenharia
1091947,Administrativo
1091947,Produção / Operações
1022022,Tecnologia
1022022,RH
1022022,Saúde
1022022,Administrativo
1022022,Marketing / Comunicação
379700,RH
379700,Jurídico
379700,Saúde
379700,Administrativo
1084565,Comercial / Vendas
1084565,Engenharia
1084565,Tecnologia
1084565,Administrativo
1084565,Marketing / Comunicação
1084565,Logistica / Supply Chain
388372,Comercial / Vendas
388372,Administrativo
388372,Produção / Operações
1092324,Administrativo
1092324,Finanças / Contabilidade
388372,Logistica / Supply Chain
219362,Marketing / Comunicação
219362,RH
310920,Produção / Operações
249040,Produção / Operações
1019677,Tecnologia
1019677,Administrativo
1019677,Marketing / Comunicação
1019677,Finanças / Contabilidade
882650,RH
882650,Administrativo
882650,Finanças / Contabilidade
882650,Produção / Operações
1012301,Comercial / Vendas
1012301,Tecnologia
1012301,Marketing / Comunicação
310920,Logistica / Supply Chain
249040,Logistica / Supply Chain
882657,Engenharia
882657,Tecnologia
882657,Administrativo
238311,Logistica / Supply Chain
1069817,Tecnologia
1091947,Logistica / Supply Chain
1085202,Comercial / Vendas
1085202,RH
547976,Comercial / Vendas
1085202,Jurídico
1085202,Administrativo
1085206,Tecnologia
1089781,RH
1089781,Saúde
1089781,Administrativo
222476,Marketing / Comunicação
338722,Produção / Operações
1052297,Marketing / Comunicação
1052297,Produção / Operações
157781,Logistica / Supply Chain
262112,Produção / Operações
161956,Logistica / Supply Chain
338722,Logistica / Supply Chain
547976,Engenharia
547976,Tecnologia
337961,Tecnologia
547976,RH
547976,Administrativo
547976,Marketing / Comunicação
547976,Finanças / Contabilidade
547976,Produção / Operações
547976,Logistica / Supply Chain
262112,Logistica / Supply Chain
158537,Produção / Operações
310920,Tecnologia
249040,Tecnologia
158537,Logistica / Supply Chain
1025762,Engenharia
534554,Comercial / Vendas
534554,Tecnologia
534554,Administrativo
534554,Marketing / Comunicação
239723,Produção / Operações
239723,Logistica / Supply Chain
1089111,Administrativo
248693,Logistica / Supply Chain
248693,Produção / Operações
1084530,Engenharia
1084530,Tecnologia
244625,Produção / Operações
1084530,Produção / Operações
1089781,Finanças / Contabilidade
1025762,RH
1025762,Produção / Operações
1025762,Logistica / Supply Chain
1085266,Comercial / Vendas
1085266,Marketing / Comunicação
240482,Produção / Operações
252239,Produção / Operações
1090196,Tecnologia
252239,Logistica / Supply Chain
1089568,Tecnologia
241481,Produção / Operações
241647,Produção / Operações
1025053,RH
1025053,Saúde
1025053,Administrativo
1025053,Marketing / Comunicação
241647,Logistica / Supply Chain
232189,Comercial / Vendas
232189,Marketing / Comunicação
250812,Produção / Operações
276127,Produção / Operações
1084491,Tecnologia
1084491,Administrativo
250812,Logistica / Supply Chain
1084491,Marketing / Comunicação
1084491,Finanças / Contabilidade
1084491,Logistica / Supply Chain
1090191,Engenharia
1085295,Tecnologia
202536,Produção / Operações
202536,Logistica / Supply Chain
279262,Produção / Operações
490666,RH
157781,Comercial / Vendas
1090191,Tecnologia
338722,Comercial / Vendas
338722,Marketing / Comunicação
277989,Produção / Operações
1090191,Produção / Operações
1082779,Administrativo
387540,Comercial / Vendas
1084654,Comercial / Vendas
1020983,Tecnologia
1020983,Marketing / Comunicação
1084654,Administrativo
1084654,Marketing / Comunicação
255141,Logistica / Supply Chain
1085762,RH
1085762,Administrativo
1085762,Finanças / Contabilidade
1085762,Produção / Operações
1085762,Logistica / Supply Chain
251399,Produção / Operações
256118,Produção / Operações
263576,Produção / Operações
1090231,Jurídico
1090231,Administrativo
230656,RH
117100,Finanças / Contabilidade
158537,Tecnologia
1085147,Engenharia
1085147,Produção / Operações
256118,Logistica / Supply Chain
387540,Marketing / Comunicação
387540,Produção / Operações
271956,Produção / Operações
