id,key,superfit_dis,superfit_sin,superfit_cur,superfit_int,superfit_eng,superfit_res
1018194,SF_DR,60.00,50.00,48.00,50.00,50.00,66.00
1018228,SF_DS,58.00,54.00,44.00,52.00,50.00,42.00
1018214,SF_DR,68.00,54.00,56.00,52.00,58.00,62.00
1018221,SF_DS,58.00,50.00,14.00,36.00,32.00,46.00
1016674,SF_DS,62.00,56.00,48.00,52.00,54.00,54.00
1018248,SF_DI,58.00,50.00,30.00,54.00,48.00,40.00
1018262,SF_SC,58.00,60.00,58.00,46.00,48.00,56.00
1018239,SF_SR,60.00,62.00,54.00,48.00,52.00,64.00
1018238,SF_DI,62.00,48.00,56.00,60.00,56.00,56.00
384965,SF_DS,66.00,52.00,44.00,48.00,46.00,46.00
1018295,SF_DI,60.00,56.00,30.00,58.00,40.00,34.00
1018265,SF_DR,60.00,46.00,44.00,42.00,48.00,54.00
1017187,SF_IR,50.00,38.00,48.00,60.00,46.00,54.00
1018288,SF_SI,52.00,56.00,46.00,62.00,54.00,44.00
1018314,SF_SR,46.00,48.00,46.00,46.00,44.00,50.00
1018300,SF_DR,56.00,46.00,52.00,48.00,54.00,58.00
1018293,SF_DC,64.00,58.00,70.00,50.00,50.00,62.00
1018302,SF_DC,48.00,36.00,44.00,30.00,28.00,42.00
1016570,SF_DR,56.00,44.00,26.00,48.00,34.00,52.00
1018292,SF_DR,64.00,56.00,46.00,52.00,48.00,68.00
1016171,SF_DR,58.00,50.00,48.00,44.00,48.00,62.00
1018349,SF_IE,54.00,58.00,52.00,60.00,64.00,58.00
1018344,SF_DC,70.00,50.00,54.00,42.00,50.00,48.00
1018379,SF_DE,72.00,48.00,42.00,56.00,58.00,56.00
1018327,SF_DE,66.00,48.00,42.00,56.00,60.00,52.00
1018315,SF_DS,64.00,60.00,50.00,54.00,48.00,58.00
1018343,SF_DR,62.00,48.00,40.00,50.00,50.00,64.00
1018317,SF_DS,62.00,54.00,26.00,44.00,52.00,38.00
1018318,SF_DI,62.00,46.00,36.00,52.00,44.00,36.00
1018380,SF_DS,70.00,64.00,48.00,62.00,56.00,62.00
1017969,SF_DS,60.00,48.00,38.00,44.00,44.00,44.00
1018366,SF_DI,56.00,40.00,42.00,46.00,42.00,42.00
1018377,SF_DR,70.00,54.00,46.00,64.00,64.00,66.00
1018365,SF_DR,56.00,50.00,48.00,50.00,52.00,66.00
1018381,SF_SI,48.00,52.00,44.00,60.00,46.00,46.00
1018372,SF_IR,42.00,46.00,18.00,56.00,36.00,48.00
1018361,SF_DI,62.00,58.00,28.00,60.00,42.00,54.00
1018332,SF_DI,56.00,46.00,50.00,58.00,42.00,54.00
908276,SF_DI,60.00,50.00,50.00,58.00,46.00,54.00
1018360,SF_DI,58.00,50.00,38.00,60.00,54.00,54.00
1018352,SF_DR,70.00,60.00,52.00,38.00,60.00,62.00
1018311,SF_ER,54.00,52.00,50.00,44.00,58.00,66.00
1002,SF_DS,46.00,40.00,38.00,32.00,34.00,38.00
1018357,SF_DR,62.00,52.00,54.00,50.00,60.00,66.00
1017482,SF_IR,50.00,46.00,34.00,60.00,24.00,56.00
1015321,SF_DC,54.00,38.00,46.00,40.00,34.00,42.00
1018367,SF_DR,64.00,56.00,56.00,60.00,54.00,66.00
1018325,SF_DR,62.00,56.00,46.00,58.00,48.00,60.00
1018323,SF_IR,44.00,38.00,32.00,46.00,28.00,48.00
324132,SF_DI,44.00,42.00,38.00,60.00,40.00,40.00
1016910,SF_CI,58.00,54.00,60.00,62.00,58.00,46.00
1017687,SF_DI,60.00,52.00,34.00,70.00,52.00,54.00
1018414,SF_SR,58.00,60.00,50.00,54.00,56.00,64.00
1018384,SF_DI,62.00,56.00,50.00,60.00,52.00,44.00
1018423,SF_DE,64.00,50.00,30.00,36.00,52.00,50.00
1018386,SF_SI,58.00,60.00,56.00,62.00,56.00,50.00
1017685,SF_DI,60.00,46.00,48.00,54.00,52.00,54.00
1018398,SF_SR,52.00,56.00,44.00,54.00,44.00,58.00
1016876,SF_DS,52.00,48.00,32.00,36.00,42.00,40.00
1014536,SF_ER,50.00,48.00,52.00,54.00,60.00,56.00
